id,title,difficulty,totalNotes,sub_constant_1,main_constant,sub_constant_2,stamina,handspeed,burst,complex,rhythm
1,天竺2000,oni,831,9.00 ,10.03 ,11.45 ,7.86 ,11.61 ,12.75 ,6.59 ,10.70 
2,天体観測,oni,406,1.66 ,1.75 ,1.32 ,2.85 ,0.19 ,3.53 ,0.00 ,0.62 
3,愿望便是希望者,oni,507,1.17 ,1.47 ,1.52 ,2.00 ,0.19 ,5.17 ,0.00 ,0.43 
5,IOSYS Autumn Carnivorous Festival 2014,oni,848,8.65 ,9.01 ,9.93 ,8.14 ,10.20 ,11.55 ,7.17 ,8.44 
8,超时空Adventure,oni,420,0.98 ,1.83 ,2.78 ,1.67 ,0.14 ,0.60 ,0.17 ,3.24 
9,与你奏响的和弦,edit,681,4.56 ,4.29 ,3.02 ,5.55 ,3.12 ,3.53 ,4.59 ,2.31 
9,与你奏响的和弦,oni,466,0.87 ,1.23 ,1.42 ,1.47 ,0.09 ,3.53 ,0.31 ,1.16 
10,3piece-JazzParty!,oni,552,8.14 ,7.71 ,6.94 ,6.55 ,5.35 ,4.98 ,11.16 ,6.74 
11,みらくる☆トラベル,oni,338,0.84 ,1.51 ,1.97 ,1.39 ,0.41 ,7.03 ,0.00 ,0.52 
12,夜樱 Bladerz,oni,567,7.76 ,7.79 ,6.58 ,5.39 ,6.62 ,7.53 ,10.29 ,6.08 
13,心动不已的祭典时间,oni,652,5.29 ,7.35 ,9.24 ,4.60 ,5.81 ,9.37 ,5.31 ,10.02 
14,七彩ボタン,oni,455,0.71 ,1.16 ,1.73 ,1.22 ,0.02 ,0.00 ,0.09 ,2.01 
15,龙与黑炎的公主,edit,932,12.98 ,12.18 ,12.29 ,12.44 ,11.48 ,14.52 ,14.57 ,11.19 
15,龙与黑炎的公主,oni,569,6.42 ,6.51 ,6.74 ,4.52 ,2.98 ,1.20 ,9.64 ,7.16 
16,暗黑魔法少女,oni,1158,10.77 ,9.95 ,9.03 ,11.84 ,10.62 ,8.67 ,9.55 ,4.15 
17,花音反拍子,oni,700,5.39 ,6.37 ,7.66 ,4.66 ,2.19 ,9.32 ,7.71 ,6.30 
18,ひまわりの約束,oni,233,0.14 ,0.14 ,0.08 ,0.24 ,0.00 ,0.00 ,0.00 ,0.06 
19,Night And Day,oni,698,8.01 ,7.23 ,5.56 ,6.58 ,1.34 ,0.14 ,12.05 ,4.93 
20,IN THE ZONE,oni,765,8.87 ,8.53 ,5.32 ,10.08 ,8.37 ,7.88 ,7.84 ,3.07 
21,Turquoise Tachometer,oni,835,10.54 ,9.08 ,6.95 ,9.81 ,6.27 ,3.96 ,13.93 ,5.76 
22,AISO WARAI,oni,600,2.82 ,2.91 ,2.21 ,4.05 ,2.43 ,5.87 ,1.16 ,1.02 
25,フライングゲット,oni,306,0.55 ,2.61 ,4.40 ,0.95 ,0.02 ,0.00 ,0.00 ,5.20 
26,恋するフォーチュンクッキー,oni,529,1.27 ,1.09 ,0.64 ,1.80 ,0.10 ,0.00 ,1.24 ,0.29 
27,Heavy Rotation,oni,507,1.60 ,1.98 ,2.02 ,2.65 ,0.74 ,7.03 ,0.00 ,0.13 
31,亚空间游泳ac12.5,oni,777,8.00 ,8.24 ,8.45 ,5.91 ,3.79 ,5.24 ,11.85 ,8.84 
32,亚历山大 主题曲,oni,644,3.95 ,4.46 ,8.56 ,5.81 ,3.52 ,12.75 ,0.00 ,1.09 
33,UNDEAD HEART（愤怒的Warriors）,oni,1134,13.30 ,12.29 ,11.63 ,14.34 ,11.40 ,12.41 ,13.75 ,5.99 
34,Amanda,oni,523,4.33 ,5.39 ,5.57 ,3.25 ,0.16 ,7.75 ,6.70 ,5.63 
35,GLORIOUS RO@D,oni,315,0.68 ,0.86 ,1.13 ,1.12 ,0.01 ,0.00 ,0.34 ,1.28 
36,Let It Go,oni,361,0.36 ,0.40 ,0.17 ,0.62 ,0.02 ,0.02 ,0.00 ,0.00 
37,渚のアンドロメダ,oni,701,3.09 ,2.73 ,1.69 ,4.42 ,1.66 ,1.43 ,2.48 ,0.98 
38,KAZE NO FANTASY,oni,765,5.79 ,5.73 ,3.40 ,8.16 ,5.60 ,7.62 ,1.22 ,0.45 
39,Pastel Dream,oni,765,4.99 ,5.00 ,3.14 ,7.42 ,4.29 ,7.50 ,0.56 ,0.85 
40,"My Soul, Your Beats!",oni,444,3.95 ,3.36 ,1.83 ,6.07 ,1.19 ,0.18 ,2.83 ,0.22 
41,グレート！アニマルカイザー!!,oni,676,4.75 ,4.68 ,2.68 ,6.63 ,4.71 ,5.63 ,0.92 ,0.45 
42,面包超人进行曲,oni,400,0.69 ,0.62 ,0.36 ,1.18 ,0.01 ,0.00 ,0.00 ,0.20 
43,再见了Varya,edit,765,12.94 ,12.25 ,12.22 ,12.64 ,11.94 ,11.02 ,13.92 ,12.82 
43,再见了Varya,oni,546,7.99 ,9.07 ,9.96 ,4.52 ,7.08 ,10.70 ,10.90 ,9.74 
44,YouTube主题曲,oni,455,1.65 ,3.22 ,5.02 ,1.73 ,0.07 ,0.00 ,2.25 ,5.87 
45,苍之旋律,edit,976,11.23 ,10.08 ,9.05 ,12.18 ,10.65 ,8.43 ,10.59 ,3.75 
45,苍之旋律,oni,933,9.51 ,9.11 ,6.65 ,10.81 ,10.17 ,8.43 ,6.90 ,4.23 
47,前前前世,oni,466,4.45 ,4.52 ,3.51 ,5.42 ,4.07 ,8.08 ,3.56 ,1.09 
48,ASSAULT BGM1,edit,761,7.22 ,7.31 ,6.08 ,6.92 ,1.19 ,5.73 ,10.26 ,5.74 
48,ASSAULT BGM1,oni,527,4.32 ,3.88 ,2.89 ,3.31 ,0.12 ,0.00 ,6.67 ,2.48 
49,Samba Alegria,edit,765,7.32 ,8.88 ,10.11 ,5.97 ,0.92 ,8.93 ,11.07 ,12.37 
49,Samba Alegria,oni,619,2.63 ,5.82 ,9.27 ,2.78 ,0.06 ,0.03 ,3.58 ,10.88 
51,くらえ！ブットバースト!!,oni,454,3.28 ,3.66 ,5.88 ,4.39 ,1.35 ,8.78 ,3.27 ,2.24 
52,BURNING FORCE组曲,oni,748,4.33 ,4.43 ,4.50 ,5.70 ,3.14 ,8.38 ,3.65 ,1.12 
53,化物月夜,oni,677,7.22 ,7.08 ,3.90 ,7.80 ,8.93 ,7.50 ,3.74 ,0.34 
54,【限定】 うなぎのたましいロック,oni,582,1.18 ,1.01 ,0.57 ,1.93 ,0.02 ,0.00 ,0.61 ,0.22 
55,Pastel Sealane,oni,850,9.25 ,9.77 ,9.41 ,5.75 ,9.39 ,9.26 ,11.51 ,9.76 
56,Blue Rose Ruin,oni,765,7.72 ,7.56 ,4.40 ,10.15 ,7.94 ,7.79 ,3.25 ,1.69 
59,僕らの世界にダンスを,oni,266,1.01 ,0.86 ,0.49 ,1.48 ,0.23 ,0.00 ,0.88 ,0.19 
